gene_id,gene_name,gene_biotype
ENSG00000280924,LINC00628,lncRNA
ENSG00000229051,LINC01788,lncRNA
ENSG00000229400,CNIH3-AS1,lncRNA
ENSG00000226029,LINC01772,lncRNA
ENSG00000218510,LINC00339,lncRNA
ENSG00000285752,CDC42-AS1,lncRNA
ENSG00000230068,CDC42-IT1,lncRNA
ENSG00000225857,LINC02816,lncRNA
ENSG00000232586,KIAA1614-AS1,lncRNA
ENSG00000230703,MYOM3-AS1,lncRNA
ENSG00000230114,AGBL4-AS1,lncRNA
ENSG00000225623,AGBL4-IT1,lncRNA
ENSG00000233540,DNM3-IT1,lncRNA
ENSG00000232192,KIF26B-AS1,lncRNA
ENSG00000281207,SLFNL1-AS1,lncRNA
ENSG00000225826,LINC00626,lncRNA
ENSG00000267272,LINC01140,lncRNA
ENSG00000261504,LINC01686,lncRNA
ENSG00000285905,BMP8B-AS1,lncRNA
ENSG00000213057,C1orf220,lncRNA
ENSG00000227589,TP73-AS3,lncRNA
ENSG00000235131,TP73-AS2,lncRNA
ENSG00000235643,LINC01647,lncRNA
ENSG00000180869,LINC01555,lncRNA
ENSG00000235710,TRIM67-AS1,lncRNA
ENSG00000179840,PIK3CD-AS1,lncRNA
ENSG00000224717,LEMD1-DT,lncRNA
ENSG00000233693,PBX1-AS1,lncRNA
ENSG00000179452,LINC01699,lncRNA
ENSG00000235927,NEXN-AS1,lncRNA
ENSG00000226520,KIRREL1-IT1,lncRNA
ENSG00000232912,RERE-AS1,lncRNA
ENSG00000182873,PRKCZ-AS1,lncRNA
ENSG00000229162,RUNX3-AS1,lncRNA
ENSG00000285823,LINC02793,lncRNA
ENSG00000226133,LINC02794,lncRNA
ENSG00000233061,TTLL7-IT1,lncRNA
ENSG00000237290,LINC01343,lncRNA
ENSG00000233602,ERI3-IT1,lncRNA
ENSG00000203307,FAM78B-AS1,lncRNA
ENSG00000223525,RABGAP1L-IT1,lncRNA
ENSG00000224718,LINC01657,lncRNA
ENSG00000261326,LINC01355,lncRNA
ENSG00000233399,LINC01648,lncRNA
ENSG00000231090,MIR4422HG,lncRNA
ENSG00000235628,TNR-IT1,lncRNA
ENSG00000260976,LINC01633,lncRNA
ENSG00000228369,TXNDC12-AS1,lncRNA
ENSG00000205231,TTLL10-AS1,lncRNA
ENSG00000225602,MTOR-AS1,lncRNA
ENSG00000225063,TMCC2-AS1,lncRNA
ENSG00000203601,LINC00970,lncRNA
ENSG00000228437,LINC02474,lncRNA
ENSG00000231365,WARS2-AS1,lncRNA
ENSG00000232650,LINC01780,lncRNA
ENSG00000230921,HAO2-IT1,lncRNA
ENSG00000230817,LINC01362,lncRNA
ENSG00000230461,PROX1-AS1,lncRNA
ENSG00000281664,LINC00538,lncRNA
ENSG00000228504,LINC01760,lncRNA
ENSG00000233907,LINC01761,lncRNA
ENSG00000232878,DPYD-AS1,lncRNA
ENSG00000232542,DPYD-IT1,lncRNA
ENSG00000235777,DPYD-AS2,lncRNA
ENSG00000224238,WARS2-IT1,lncRNA
ENSG00000177553,C1orf167-AS1,lncRNA
ENSG00000226758,DISC1-IT1,lncRNA
ENSG00000224209,LINC00466,lncRNA
ENSG00000230798,FOXD3-AS1,lncRNA
ENSG00000237781,ADAMTSL4-AS2,lncRNA
ENSG00000236975,LINC02814,lncRNA
ENSG00000177800,TMEM78,lncRNA
ENSG00000235919,ASH1L-AS1,lncRNA
ENSG00000224358,TMCO1-AS1,lncRNA
ENSG00000270084,GAS5-AS1,lncRNA
ENSG00000203865,ATP1A1-AS1,lncRNA
ENSG00000233154,LINC01762,lncRNA
ENSG00000227409,ZMYM4-AS1,lncRNA
ENSG00000224863,LINC01398,lncRNA
ENSG00000231671,LINC01307,lncRNA
ENSG00000230630,DNM3OS,lncRNA
ENSG00000230035,IGSF21-AS1,lncRNA
ENSG00000231663,COA6-AS1,lncRNA
ENSG00000234678,ELF3-AS1,lncRNA
ENSG00000223956,LINC01767,lncRNA
ENSG00000228060,PABPC4-AS1,lncRNA
ENSG00000223382,LINC01778,lncRNA
ENSG00000235527,HIPK1-AS1,lncRNA
ENSG00000226944,RNF207-AS1,lncRNA
ENSG00000232812,LINC01717,lncRNA
ENSG00000237058,MMEL1-AS1,lncRNA
ENSG00000249087,ZNF436-AS1,lncRNA
ENSG00000233975,LINC02574,lncRNA
ENSG00000237853,NFIA-AS1,lncRNA
ENSG00000285210,LINC02795,lncRNA
ENSG00000271736,LINC02772,lncRNA
ENSG00000228237,EFCAB14-AS1,lncRNA
ENSG00000231966,LINC02818,lncRNA
ENSG00000233973,LINC01360,lncRNA
ENSG00000283518,LINC02775,lncRNA
ENSG00000228382,ITPKB-IT1,lncRNA
ENSG00000231064,THBS3-AS1,lncRNA
ENSG00000227811,INKA2-AS1,lncRNA
ENSG00000226891,LINC01359,lncRNA
ENSG00000228105,LINC01757,lncRNA
ENSG00000231999,LRRC8C-DT,lncRNA
ENSG00000237928,NFIA-AS2,lncRNA
ENSG00000233421,LINC01783,lncRNA
ENSG00000233882,LINC01680,lncRNA
ENSG00000284668,LINC02780,lncRNA
ENSG00000229531,RABGAP1L-AS1,lncRNA
ENSG00000230250,LINC01753,lncRNA
ENSG00000228208,LINC02869,lncRNA
ENSG00000225855,RUSC1-AS1,lncRNA
ENSG00000224093,BCAR3-AS1,lncRNA
ENSG00000236292,USH2A-AS1,lncRNA
ENSG00000231246,LINC02884,lncRNA
ENSG00000229537,LINC01739,lncRNA
ENSG00000231437,LINC01750,lncRNA
ENSG00000230138,LINC02812,lncRNA
ENSG00000227963,RBM15-AS1,lncRNA
ENSG00000223479,LINC02238,lncRNA
ENSG00000237728,CAMTA1-AS2,lncRNA
ENSG00000235200,LINC01702,lncRNA
ENSG00000234233,KCNH1-IT1,lncRNA
ENSG00000258673,LINC01397,lncRNA
ENSG00000232298,GRHL3-AS1,lncRNA
ENSG00000204362,LINC02783,lncRNA
ENSG00000237463,LRRC52-AS1,lncRNA
ENSG00000228918,LINC01344,lncRNA
ENSG00000227082,LINC02798,lncRNA
ENSG00000236423,LINC01134,lncRNA
ENSG00000230806,SRGAP2-AS1,lncRNA
ENSG00000227016,LINC02796,lncRNA
ENSG00000232212,LINC01701,lncRNA
ENSG00000233593,LINC02609,lncRNA
ENSG00000237505,PKN2-AS1,lncRNA
ENSG00000225518,LINC01703,lncRNA
ENSG00000225446,LINC01763,lncRNA
ENSG00000203721,LINC00862,lncRNA
ENSG00000236268,LINC01361,lncRNA
ENSG00000284623,LINC02786,lncRNA
ENSG00000232265,LINC02805,lncRNA
ENSG00000227630,LINC01132,lncRNA
ENSG00000233203,DHCR24-DT,lncRNA
ENSG00000226419,SLC16A1-AS1,lncRNA
ENSG00000238198,LRIG2-DT,lncRNA
ENSG00000215866,LINC01356,lncRNA
ENSG00000237435,LINC02790,lncRNA
ENSG00000227290,LINC01364,lncRNA
ENSG00000232077,LINC01031,lncRNA
ENSG00000235741,LINC02784,lncRNA
ENSG00000231407,GORAB-AS1,lncRNA
ENSG00000284240,LINC02801,lncRNA
ENSG00000259815,LINC02769,lncRNA
ENSG00000236244,SLC35F3-AS1,lncRNA
ENSG00000226715,LINC01709,lncRNA
ENSG00000226251,LINC02608,lncRNA
ENSG00000231648,LINC01698,lncRNA
ENSG00000116652,DLEU2L,lncRNA
ENSG00000233079,LINC01755,lncRNA
ENSG00000232860,SMG7-AS1,lncRNA
ENSG00000230402,LINC01349,lncRNA
ENSG00000233485,FHAD1-AS1,lncRNA
ENSG00000232480,TGFB2-AS1,lncRNA
ENSG00000228397,LINC01635,lncRNA
ENSG00000227591,HSD11B1-AS1,lncRNA
ENSG00000235407,CYMP-AS1,lncRNA
ENSG00000234142,LINC01675,lncRNA
ENSG00000228215,LINC02770,lncRNA
ENSG00000284693,LINC02606,lncRNA
ENSG00000229739,PDC-AS1,lncRNA
ENSG00000226053,LINC01776,lncRNA
ENSG00000215808,LINC01139,lncRNA
ENSG00000203739,PRDX6-AS1,lncRNA
ENSG00000228917,NECTIN4-AS1,lncRNA
ENSG00000238063,LINC01685,lncRNA
ENSG00000229201,LINC02787,lncRNA
ENSG00000234754,LINC02817,lncRNA
ENSG00000228526,MIR34AHG,lncRNA
ENSG00000235492,LINC01221,lncRNA
ENSG00000234546,LNCTAM34A,lncRNA
ENSG00000237436,CAMTA1-DT,lncRNA
ENSG00000225334,LINC02813,lncRNA
ENSG00000233384,CNIH3-AS2,lncRNA
ENSG00000231529,LINC02779,lncRNA
ENSG00000227947,LINC01738,lncRNA
ENSG00000228309,LINC01350,lncRNA
ENSG00000234184,LINC01781,lncRNA
ENSG00000229291,LINC02768,lncRNA
ENSG00000237552,LINC02567,lncRNA
ENSG00000234478,ACBD3-AS1,lncRNA
ENSG00000235079,ZRANB2-AS1,lncRNA
ENSG00000237605,DYRK3-AS1,lncRNA
ENSG00000233985,LINC01681,lncRNA
ENSG00000226876,SMYD3-AS1,lncRNA
ENSG00000227373,RABGAP1L-DT,lncRNA
ENSG00000125462,MIR9-1HG,lncRNA
ENSG00000238242,LINC02778,lncRNA
ENSG00000228035,NGF-AS1,lncRNA
ENSG00000231364,LINC01712,lncRNA
ENSG00000197880,MDS2,lncRNA
ENSG00000285462,LINC02792,lncRNA
ENSG00000233620,USH2A-AS2,lncRNA
ENSG00000224939,LINC00184,lncRNA
ENSG00000237292,LINC01732,lncRNA
ENSG00000229258,LPGAT1-AS1,lncRNA
ENSG00000293597,LINC00970,lncRNA
ENSG00000231163,CSMD2-AS1,lncRNA
ENSG00000278811,LINC00624,lncRNA
ENSG00000231768,LINC01354,lncRNA
ENSG00000230337,EXOSC10-AS1,lncRNA
ENSG00000230023,LINC02800,lncRNA
ENSG00000226828,LINC02774,lncRNA
ENSG00000229989,MIR181A1HG,lncRNA
ENSG00000227043,LINC01682,lncRNA
ENSG00000227940,LINC01696,lncRNA
ENSG00000239636,TFAP2E-AS1,lncRNA
ENSG00000227740,LINC02803,lncRNA
ENSG00000229484,LINC02766,lncRNA
ENSG00000228063,LYPLAL1-DT,lncRNA
ENSG00000228536,LYPLAL1-AS1,lncRNA
ENSG00000284678,LINC02811,lncRNA
ENSG00000224968,LINC01645,lncRNA
ENSG00000237460,LINC01661,lncRNA
ENSG00000226235,LEMD1-AS1,lncRNA
ENSG00000232671,ZNF687-AS1,lncRNA
ENSG00000233410,LINC01222,lncRNA
ENSG00000232093,DCST1-AS1,lncRNA
ENSG00000230768,LINC01676,lncRNA
ENSG00000224805,LINC00853,lncRNA
ENSG00000273129,PACERR,lncRNA
ENSG00000236963,LINC01141,lncRNA
ENSG00000233304,LINC01346,lncRNA
ENSG00000226374,LINC01345,lncRNA
ENSG00000177133,PRDM16-DT,lncRNA
ENSG00000153363,LINC00467,lncRNA
ENSG00000228338,LINC01784,lncRNA
ENSG00000223949,ROR1-AS1,lncRNA
ENSG00000230489,VAV3-AS1,lncRNA
ENSG00000233730,LINC01765,lncRNA
ENSG00000236950,LINC01774,lncRNA
ENSG00000234476,LINC02765,lncRNA
ENSG00000236915,CLCA4-AS1,lncRNA
ENSG00000228971,LINC02607,lncRNA
ENSG00000237413,MGC27382,lncRNA
ENSG00000228126,FALEC,lncRNA
ENSG00000237980,LINC02773,lncRNA
ENSG00000198468,FLVCR1-DT,lncRNA
ENSG00000263590,LINC02591,lncRNA
ENSG00000229228,LINC00582,lncRNA
ENSG00000235446,LINC02791,lncRNA
ENSG00000232679,LINC01705,lncRNA
ENSG00000223883,LINC01707,lncRNA
ENSG00000228750,LINC01672,lncRNA
ENSG00000224445,LINC01708,lncRNA
ENSG00000226476,LINC01748,lncRNA
ENSG00000234741,GAS5,lncRNA
ENSG00000235054,LINC01777,lncRNA
ENSG00000225762,LINC01389,lncRNA
ENSG00000233246,PHC2-AS1,lncRNA
ENSG00000238164,TNFRSF14-AS1,lncRNA
ENSG00000226759,DAB1-AS1,lncRNA
ENSG00000203684,IBA57-DT,lncRNA
ENSG00000203709,MIR29B2CHG,lncRNA
ENSG00000234264,DEPDC1-AS1,lncRNA
ENSG00000186056,MATN1-AS1,lncRNA
ENSG00000230937,MIR205HG,lncRNA
ENSG00000224286,LINC01142,lncRNA
ENSG00000225265,TAF1A-AS1,lncRNA
ENSG00000223745,CCDC18-AS1,lncRNA
ENSG00000236810,ELOA-AS1,lncRNA
ENSG00000224616,RTCA-AS1,lncRNA
ENSG00000233355,CHRM3-AS2,lncRNA
ENSG00000231718,LINC02789,lncRNA
ENSG00000232892,RGS5-AS1,lncRNA
ENSG00000232284,GNG12-AS1,lncRNA
ENSG00000230679,ENO1-AS1,lncRNA
ENSG00000226835,ARHGAP29-AS1,lncRNA
ENSG00000269956,MKNK1-AS1,lncRNA
ENSG00000237337,ELAVL4-AS1,lncRNA
ENSG00000280587,LINC01348,lncRNA
ENSG00000235202,LINC01525,lncRNA
ENSG00000226167,AP4B1-AS1,lncRNA
ENSG00000224699,LAMTOR5-AS1,lncRNA
ENSG00000225126,CAMTA1-AS1,lncRNA
ENSG00000236546,MYCL-AS1,lncRNA
ENSG00000234497,ERICH3-AS1,lncRNA
ENSG00000238022,LMX1A-AS1,lncRNA
ENSG00000232453,LINC02777,lncRNA
ENSG00000233431,LINC02596,lncRNA
ENSG00000228420,LINC01768,lncRNA
ENSG00000233008,LINC01725,lncRNA
ENSG00000228058,LINC01736,lncRNA
ENSG00000230426,LINC01036,lncRNA
ENSG00000203706,SERTAD4-AS1,lncRNA
ENSG00000234070,SPATA17-AS1,lncRNA
ENSG00000234593,KAZN-AS1,lncRNA
ENSG00000235933,LINC01779,lncRNA
ENSG00000237402,CAMTA1-IT1,lncRNA
ENSG00000284696,LINC02808,lncRNA
ENSG00000224535,LINC02771,lncRNA
ENSG00000224592,MIR3659HG,lncRNA
ENSG00000260088,DDX59-AS1,lncRNA
ENSG00000243485,MIR1302-2HG,lncRNA
ENSG00000230424,EMC1-AS1,lncRNA
ENSG00000228127,LINC01649,lncRNA
ENSG00000203288,TDRKH-AS1,lncRNA
ENSG00000234614,C2CD4D-AS1,lncRNA
ENSG00000225670,CADM3-AS1,lncRNA
ENSG00000237491,LINC01409,lncRNA
ENSG00000177757,FAM87B,lncRNA
ENSG00000230368,FAM41C,lncRNA
ENSG00000225880,LINC00115,lncRNA
ENSG00000224943,LINC02819,lncRNA
ENSG00000234277,LINC01641,lncRNA
ENSG00000274020,LINC01138,lncRNA
ENSG00000224259,LINC01133,lncRNA
ENSG00000231871,IPO9-AS1,lncRNA
ENSG00000227634,LINC01714,lncRNA
ENSG00000226067,LINC00623,lncRNA
ENSG00000284237,LINC02767,lncRNA
ENSG00000176754,LINC00303,lncRNA
ENSG00000228794,LINC01128,lncRNA
ENSG00000225206,MIR137HG,lncRNA
ENSG00000225767,FAF1-AS1,lncRNA
ENSG00000238107,LINC02806,lncRNA
ENSG00000272145,NFYC-AS1,lncRNA
ENSG00000257551,HLX-AS1,lncRNA
ENSG00000237976,RFX5-AS1,lncRNA
ENSG00000225506,CYP4A22-AS1,lncRNA
ENSG00000234601,CHRM3-AS1,lncRNA
ENSG00000230434,LINC01650,lncRNA
ENSG00000228067,LINC01740,lncRNA
ENSG00000117242,PINK1-AS,lncRNA
ENSG00000228013,IL6R-AS1,lncRNA
ENSG00000229780,UBE2Q1-AS1,lncRNA
ENSG00000231666,LINC01704,lncRNA
ENSG00000224308,LINC01527,lncRNA
ENSG00000224459,SLC25A34-AS1,lncRNA
ENSG00000223764,LINC02593,lncRNA
ENSG00000230415,LINC01786,lncRNA
ENSG00000224870,MRPL20-AS1,lncRNA
ENSG00000225285,LINC01770,lncRNA
ENSG00000203897,SPATA42,lncRNA
ENSG00000228288,PCAT6,lncRNA
ENSG00000233396,LINC01719,lncRNA
ENSG00000229901,FOXO6-AS1,lncRNA
ENSG00000229431,MED8-AS1,lncRNA
ENSG00000229372,SZT2-AS1,lncRNA
ENSG00000236200,KDM4A-AS1,lncRNA
ENSG00000229444,ST3GAL3-AS1,lncRNA
ENSG00000234222,LIX1L-AS1,lncRNA
ENSG00000236719,OVAAL,lncRNA
ENSG00000197989,SNHG12,lncRNA
ENSG00000284543,LINC01226,lncRNA
ENSG00000235790,PEF1-AS1,lncRNA
ENSG00000203356,LINC01562,lncRNA
ENSG00000261664,TTC39A-AS1,lncRNA
ENSG00000227070,EPS15-AS1,lncRNA
ENSG00000227181,LINC01688,lncRNA
ENSG00000203729,LINC00272,lncRNA
ENSG00000225891,DHDDS-AS1,lncRNA
ENSG00000286061,RCAN3AS,lncRNA
ENSG00000229639,LINC01758,lncRNA
ENSG00000237919,LRRC7-AS1,lncRNA
ENSG00000227421,LINC01724,lncRNA
ENSG00000242042,LINC01743,lncRNA
ENSG00000227953,LINC01341,lncRNA
ENSG00000231507,LINC01353,lncRNA
ENSG00000231789,PIK3CD-AS2,lncRNA
ENSG00000236720,LINC01741,lncRNA
ENSG00000254154,CRYZL2P-SEC16B,lncRNA
ENSG00000224687,RASAL2-AS1,lncRNA
ENSG00000225919,LINC01745,lncRNA
ENSG00000236497,LINC01744,lncRNA
ENSG00000230550,ERLNC1,lncRNA
ENSG00000225234,TRAPPC12-AS1,lncRNA
ENSG00000227007,LINC01247,lncRNA
ENSG00000224885,EIPR1-IT1,lncRNA
ENSG00000231948,HS1BP3-IT1,lncRNA
ENSG00000236436,LINC02850,lncRNA
ENSG00000237670,LINC01866,lncRNA
ENSG00000237790,LINC01318,lncRNA
ENSG00000228481,PRKCE-AS1,lncRNA
ENSG00000234653,LRRTM4-AS1,lncRNA
ENSG00000232548,LINC01809,lncRNA
ENSG00000225444,LINC01867,lncRNA
ENSG00000231134,TCF7L1-IT1,lncRNA
ENSG00000230140,NPAS2-AS1,lncRNA
ENSG00000238250,ST6GAL2-IT1,lncRNA
ENSG00000231221,LINC01593,lncRNA
ENSG00000235717,DPP10-AS2,lncRNA
ENSG00000232474,NCKAP5-IT1,lncRNA
ENSG00000232991,GACAT1,lncRNA
ENSG00000238133,MAP3K20-AS1,lncRNA
ENSG00000224231,LINC01832,lncRNA
ENSG00000204460,LINC01854,lncRNA
ENSG00000230173,LINC01790,lncRNA
ENSG00000231898,MYO3B-AS1,lncRNA
ENSG00000232740,LINC01826,lncRNA
ENSG00000233729,NCKAP5-AS1,lncRNA
ENSG00000236049,LINC01920,lncRNA
ENSG00000254552,XIRP2-AS1,lncRNA
ENSG00000224467,TANK-AS1,lncRNA
ENSG00000224257,VWC2L-IT1,lncRNA
ENSG00000272902,TBC1D8-AS1,lncRNA
ENSG00000229457,LINC01789,lncRNA
ENSG00000226813,LINC01941,lncRNA
ENSG00000232893,IQCA1-AS1,lncRNA
ENSG00000224095,LINC01935,lncRNA
ENSG00000230923,LINC00309,lncRNA
ENSG00000231534,FBXO36-IT1,lncRNA
ENSG00000230002,ALMS1-IT1,lncRNA
ENSG00000224606,TGFA-IT1,lncRNA
ENSG00000260868,LINC01960,lncRNA
ENSG00000229692,SOS1-IT1,lncRNA
ENSG00000174325,DIRC1,lncRNA
ENSG00000204581,ACOXL-AS1,lncRNA
ENSG00000229385,CTNNA2-AS1,lncRNA
ENSG00000225964,NRIR,lncRNA
ENSG00000234193,ACSL3-AS1,lncRNA
ENSG00000225328,LINC01594,lncRNA
ENSG00000230645,LINC01818,lncRNA
ENSG00000226312,CFLAR-AS1,lncRNA
ENSG00000225619,MYT1L-AS1,lncRNA
ENSG00000231636,AGBL5-AS1,lncRNA
ENSG00000229122,AGBL5-IT1,lncRNA
ENSG00000239322,ATP6V1B1-AS1,lncRNA
ENSG00000243819,RN7SL832P,lncRNA
ENSG00000228763,LIMS1-AS1,lncRNA
ENSG00000223863,LINC01805,lncRNA
ENSG00000268580,LINC01966,lncRNA
ENSG00000231040,LINC01911,lncRNA
ENSG00000222033,LINC01124,lncRNA
ENSG00000234362,LINC01914,lncRNA
ENSG00000237892,KLF7-IT1,lncRNA
ENSG00000280837,CPS1-IT1,lncRNA
ENSG00000227480,CCDC148-AS1,lncRNA
ENSG00000235848,RMDN2-AS1,lncRNA
ENSG00000222041,CYTOR,lncRNA
ENSG00000285373,LINC02478,lncRNA
ENSG00000224087,POTEF-AS1,lncRNA
ENSG00000237737,DCTN1-AS1,lncRNA
ENSG00000230046,BIRC6-AS1,lncRNA
ENSG00000223647,LINC01946,lncRNA
ENSG00000228108,SPTBN1-AS1,lncRNA
ENSG00000236651,DLX2-DT,lncRNA
ENSG00000179818,PCBP1-AS1,lncRNA
ENSG00000231327,LINC01816,lncRNA
ENSG00000231826,LINC01819,lncRNA
ENSG00000230587,LINC02580,lncRNA
ENSG00000225765,LINC01831,lncRNA
ENSG00000234781,LINC01103,lncRNA
ENSG00000230876,LINC00486,lncRNA
ENSG00000237772,LINC02631,lncRNA
ENSG00000272342,LINC01115,lncRNA
ENSG00000224559,LINC01087,lncRNA
ENSG00000227432,ASIC4-AS1,lncRNA
ENSG00000277527,LINC01796,lncRNA
ENSG00000224028,LINC01853,lncRNA
ENSG00000229805,LINC01813,lncRNA
ENSG00000214184,GCC2-AS1,lncRNA
ENSG00000223960,CHROMR,lncRNA
ENSG00000172965,MIR4435-2HG,lncRNA
ENSG00000240350,SOCAR,lncRNA
ENSG00000223923,TNS1-AS1,lncRNA
ENSG00000237401,LINC01304,lncRNA
ENSG00000230651,RGPD4-AS1,lncRNA
ENSG00000175772,LINC01106,lncRNA
ENSG00000235519,LINC01815,lncRNA
ENSG00000230452,LINC01381,lncRNA
ENSG00000228590,MIR4432HG,lncRNA
ENSG00000205837,LINC00487,lncRNA
ENSG00000225953,SATB2-AS1,lncRNA
ENSG00000234988,LINC01849,lncRNA
ENSG00000234945,GTF3C2-AS1,lncRNA
ENSG00000222035,KIAA2012-AS1,lncRNA
ENSG00000233639,PANTR1,lncRNA
ENSG00000229743,LINC01159,lncRNA
ENSG00000257702,LBX2-AS1,lncRNA
ENSG00000235072,ARNILA,lncRNA
ENSG00000237877,LINC01473,lncRNA
ENSG00000237751,LINC01143,lncRNA
ENSG00000227708,LINC01850,lncRNA
ENSG00000226856,THORLNC,lncRNA
ENSG00000260840,LINC01964,lncRNA
ENSG00000226488,LINC01824,lncRNA
ENSG00000232044,SILC1,lncRNA
ENSG00000224043,CCNT2-AS1,lncRNA
ENSG00000230448,LINC00276,lncRNA
ENSG00000229056,HECW2-AS1,lncRNA
ENSG00000225493,LINC01107,lncRNA
ENSG00000222020,HDAC4-AS1,lncRNA
ENSG00000226125,LINC01907,lncRNA
ENSG00000236172,MIR7515HG,lncRNA
ENSG00000234279,LINC01937,lncRNA
ENSG00000226702,MIR217HG,lncRNA
ENSG00000224875,EML4-AS1,lncRNA
ENSG00000233128,LINC01794,lncRNA
ENSG00000236653,LINC01923,lncRNA
ENSG00000228799,LINC01939,lncRNA
ENSG00000235688,SNTG2-AS1,lncRNA
ENSG00000225064,LINC01802,lncRNA
ENSG00000235597,LINC01102,lncRNA
ENSG00000228784,LINC00954,lncRNA
ENSG00000233605,LINC01851,lncRNA
ENSG00000226953,NCKAP5-AS2,lncRNA
ENSG00000259439,LINC01833,lncRNA
ENSG00000223466,LINC01825,lncRNA
ENSG00000236502,SIX3-AS1,lncRNA
ENSG00000238217,LINC01877,lncRNA
ENSG00000226674,TEX41,lncRNA
ENSG00000231538,DPP10-AS3,lncRNA
ENSG00000204588,LINC01123,lncRNA
ENSG00000237880,LINC01885,lncRNA
ENSG00000224568,LINC01886,lncRNA
ENSG00000230838,LINC01614,lncRNA
ENSG00000237298,TTN-AS1,lncRNA
ENSG00000280744,LINC01173,lncRNA
ENSG00000231646,FSIP2-AS1,lncRNA
ENSG00000226806,LCT-AS1,lncRNA
ENSG00000232520,GCSIR,lncRNA
ENSG00000237638,LINC02245,lncRNA
ENSG00000232613,LINC02576,lncRNA
ENSG00000224490,TTC21B-AS1,lncRNA
ENSG00000228016,RAPGEF4-AS1,lncRNA
ENSG00000235997,LINC01936,lncRNA
ENSG00000233684,LINC01865,lncRNA
ENSG00000236204,LINC01376,lncRNA
ENSG00000256637,LINC01965,lncRNA
ENSG00000236289,GACAT3,lncRNA
ENSG00000189223,PAX8-AS1,lncRNA
ENSG00000225539,LINC01821,lncRNA
ENSG00000236682,MAP3K2-DT,lncRNA
ENSG00000234663,LINC01934,lncRNA
ENSG00000236790,LINC00299,lncRNA
ENSG00000228203,GRASLND,lncRNA
ENSG00000224220,DTNB-AS1,lncRNA
ENSG00000237750,KCNH7-AS1,lncRNA
ENSG00000234690,EPCAM-DT,lncRNA
ENSG00000281131,SCHLAP1,lncRNA
ENSG00000205500,MAPRE3-AS1,lncRNA
ENSG00000237667,LINC01115,lncRNA
ENSG00000233296,TMEM18-DT,lncRNA
ENSG00000225226,LINC01795,lncRNA
ENSG00000237166,LINC01792,lncRNA
ENSG00000237013,LINC01812,lncRNA
ENSG00000214691,LINC01913,lncRNA
ENSG00000232023,LINC01807,lncRNA
ENSG00000260804,LINC01963,lncRNA
ENSG00000233694,LINC02579,lncRNA
ENSG00000234028,EIF2AK3-DT,lncRNA
ENSG00000231969,MMADHC-DT,lncRNA
ENSG00000224509,MRPS9-AS2,lncRNA
ENSG00000162947,LINC01931,lncRNA
ENSG00000231851,MRPS9-AS1,lncRNA
ENSG00000260942,CAPN10-DT,lncRNA
ENSG00000233766,CAVIN2-AS1,lncRNA
