"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","data_processing.3","platform_id","contact_name","contact_email","contact_phone","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","cell line:ch1","tissue:ch1"
"GSM8059581","AB_11, small RNA, Colorectal","GSM8059581","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736113","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504361","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059582","AB_12, small RNA, Colorectal","GSM8059582","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736112","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504362","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059583","AB_13, small RNA, Pancreas","GSM8059583","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736111","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504363","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059584","AB_14, small RNA, Colorectal","GSM8059584","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736110","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504364","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059585","AB_15, small RNA, Colorectal","GSM8059585","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736109","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504365","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059586","AB_16, small RNA, Pancreas","GSM8059586","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736108","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504366","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059587","AB_17, small RNA, Pancreas","GSM8059587","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736107","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504367","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059588","AB_18, small RNA, Colorectal","GSM8059588","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736106","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504368","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059589","AB_19, small RNA, Pancreas","GSM8059589","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736105","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504369","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059590","AB_20, small RNA, Pancreas","GSM8059590","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736104","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504370","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059591","AB_21, small RNA, Pancreas","GSM8059591","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736103","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504371","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059592","AB_22, small RNA, Colorectal","GSM8059592","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736102","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504372","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059593","AB_23, small RNA, Pancreas","GSM8059593","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736101","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504373","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059594","AB_24, small RNA, Pancreas","GSM8059594","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736100","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504374","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059595","AB_25, small RNA, Colorectal","GSM8059595","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736099","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504375","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059596","AB_26, small RNA, Pancreas","GSM8059596","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736098","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504376","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059597","AB_27, small RNA, Colorectal","GSM8059597","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736097","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504377","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
"GSM8059598","AB_28, small RNA, Pancreas","GSM8059598","Public on Jul 15 2025","Feb 01 2024","Jul 15 2025","SRA","1","Rectus abdominis muscle","Homo sapiens","tissue: Rectus abdominis muscle","cell line: Skeletal muscle tissue","Not Applicable","Not Applicable","total RNA","RNA extraction was performed using the Trizol method and Qiagen RNAeasy midi kit (Mississauga, ON). The optical density (OD) 260/280 ratio was measured using Nanodrop, and RNA integrity number (RIN) was assessed using Agilent Bio-analyzer 2100 for all the samples.","Libraries were genrated using NEBNext Multiplex Small RNA library Prep kit for Illumina as per the manufacturer's recommendations.","9606","The libraries were normalized, pooled, and denatured. Pooled libraries were loaded on Illumina NovaSeq SP lane using Xp protocol per manufacturer's recommendations.","Base-calling was performed with RTA v.3.4.4. Program bcl2fastq2 was used to demultiplex and generate fastq reads. Raw fastq files were subjected to cutadapt for  adapter trimming. Trimmed Reads were aligned to human genome 38 using Bowtie.","Assembly: hg38","Supplementary files format and content: tab-delimited text file includes raw count data for each sample","GPL24676","Sambasivarao,,Damaraju","sdamaraj@ualberta.ca","7807821469","Laboratory Medicine and Pathology","University of Alberta","11560 University Avenue","Edmonton","Alberta","T6G1Z2","Canada","0","Illumina NovaSeq 6000","size fractionation","transcriptomic","ncRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN39736096","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23504378","NONE","Skeletal muscle tissue","Rectus abdominis muscle"
